Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Kartal,Prof. Dr. Halil İnalcık Kütüphanesi,(0216) 586 57 44,https://goo.gl/maps/38jccJHh5Bti1ZUo7,8 ŞUBAT ÖĞLEN DESTEK İHTİYACI BULUNMAKTA,,
Kartal,Halil İnalcık Kütüphanesi,2165865744,https://goo.gl/maps/XwDKEEiZkS3H8GmC9,,,
Kartal,Muallim Cevdet Kütüphanesi,2165172298,https://goo.gl/maps/mNZzyykhEvu2snAZ8,,,
Kartal,Kartal İSADEM,2125132462,https://goo.gl/maps/TUMGNVsr1zUtHmqk7,,,
Kartal,Kartal Sosyal Hizmet Merkezi,,https://goo.gl/maps/iwFCxQnbzcEUF5T89,,,
Kasimpaşa,Peyami Safa Kütüphanesi,3587229498,https://goo.gl/maps/pi1SV1274REUgdN38,,,
Küçükçekmece,Toki Güneşparkevleri Kız Anadolu İmam Hatip Lisesi,(0212) 470 54 57,https://goo.gl/maps/6sLSF5Ux1RqARjgG8,,,
Küçükçekmece,Küçükçekmece Sosyal Hizmet Merkezi,(0212) 823 34 35,https://goo.gl/maps/2d7oifaykFHFfeNv9,,,
Küçükçekmece,Yahya Kemal Beyatlı Gösteri Merkezi,(0212) 411 08 82,https://goo.gl/maps/V2WZ55oEhCLpXULc9,İHTİYAÇ BULUNMAKTADIR,,
Küçükçekmece,Metin And Kütüphanesi,2125807010,https://goo.gl/maps/7SqvqjUmRe7F6vtw8,,,
Küçükçekmece,Attila İlhan Kütüphanesi,0212 249 09 45,https://goo.gl/maps/zupgZfHPzfmaFHuR8,,,
Küçükçekmece,Küçükçekmece İSADEM,,https://goo.gl/maps/fUH2PrUAgkNf4v5D9,,,
Küçükçekmece,Küçükçekmece Sosyal Hizmet Merkezi,,https://goo.gl/maps/1McdZh6otjKa7rEDA,,,
Küçükçekmece,Arif NihatAsya İlkokulu,2163286077,https://goo.gl/maps/ybjE8ss8RfxNwZD77,İHTİYAÇ VAR,,
